PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,COUNTY
CA-W-16927,"EHRENBERG CELLAR, LLC",EHRENBERG CELLARS,2301 MONARCH ST,ALAMEDA,CA,94501,ALAMEDA
CA-W-23148,MONO VERDE IMPORTS LLC,,1951 MONARCH ST STE 300,ALAMEDA,CA,94501,ALAMEDA
CA-W-16650,"LA COSTA PACIFICA, INC.",URBAN LEGEND WINE,1951 MONARCH ST SUITE 300,ALAMEDA,CA,94501,ALAMEDA
CA-W-23413,"LOS ARABIS VINEYARDS, LLC",,1951 MONARCH ST UNIT 300,ALAMEDA,CA,94501,ALAMEDA
CA-W-21538,STEELTOWN WINERY LLC,BUILDING 43 WINERY,2440 MONARCH ST STE 100,ALAMEDA,CA,94501,ALAMEDA
CA-W-2463,"DASHE WINE CELLARS, LLC",DASHE CELLARS,1951 MONARCH ST STE 300,ALAMEDA,CA,94501,ALAMEDA
CA-W-16594,Cal-,,2301 MONARCH ST SUITE #300,ALAMEDA,CA,94501,ALAMEDA
CA-W-23942,PIERRECLOS IMPORTS LLC,,1951 MONARCH ST STE 300,ALAMEDA,CA,94501,ALAMEDA
CA-W-23149,SIMAS FAMILY VINEYARD LLC,SIMAS FAMILY VINEYARD,1951 MONARCH ST,ALAMEDA,CA,94501,ALAMEDA
CA-W-23362,KENT RASMUSSEN WINERY,,2610 NINTH ST,BERKELEY,CA,94710,ALAMEDA
CA-W-16622,"CHAIM, LLC",COVENANT WINES,1102 6TH ST,BERKELEY,CA,94710,ALAMEDA
CA-W-22601,"GIFFORD FAMILY WINE CO, LLC",WINDCHASER WINE CO,1375 & 1365 4TH ST,BERKELEY,CA,94701,ALAMEDA
CA-W-21478,HANSEN-WHISTLER VINEYARDS INC.,,805 CAMELIA ST,BERKELEY,CA,94701,ALAMEDA
CA-W-22980,"CAMUNA CELLARS, LLC",,1102 6TH ST,BERKELEY,CA,94710,ALAMEDA
CA-W-23868,"TOSHOKAN, LLC",TOSHOKAN,1350 1350 FIFTH ST,BERKELEY,CA,94710,ALAMEDA
CA-W-15018,"A DONKEY AND GOAT, LLC",A DONKEY AND GOAT,1340 5TH ST,BERKELEY,CA,94710,ALAMEDA
CA-W-23046,"BOLO CELLARS, LLC",HAMMERLING WINES,1350 5TH ST,BERKELEY,CA,94710,ALAMEDA
CA-W-17731,"PETER PAUL WINES, LLC",PETER PAUL WINES,1102 6TH ST,BERKELEY,CA,94710,ALAMEDA
CA-W-15372,ALEXANDER J. VERHAGE,ENO WINES,805 CAMELIA ST,BERKELEY,CA,94710,ALAMEDA
CA-W-24087,JAMIE M LLC,,1102 6TH ST,BERKELEY,CA,94710,ALAMEDA
CA-W-21704,"NEW WORLD KOSHER, INC.",,1102 6TH ST,BERKELEY,CA,94710,ALAMEDA
CA-W-24015,JYOK BEV INC.,JYOK BEVERAGES,1335 FOURTH ST,BERKELEY,CA,94710,ALAMEDA
