PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,COUNTY
CA-W-21623,"HAPPY CANYON VINEYARDS, LLC",HAPPY CANYON VINEYARDS,59 INDUSTRIAL WAY,BEULLTON,CA,93427,SANTA BARBARA
CA-W-17037,MICHAEL JOHN ALTMAN AND WENDY KAY ALTMAN,ALTMAN WINERY,35 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA
CA-W-23595,PADRICK FAMILY WINES LLC.,MAD LAB WINES,65 LOS PADRES WAY UNIT 8,BUELLTON,CA,93427,SANTA BARBARA
CA-W-16132,"ALERE VINEYARDS & WINERY, INC.",ALERE VINEYARDS,35 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA
CA-W-15127,"ARTISTE MANAGEMENT CO., LLC",ARTISTE WINERY,65 LOS PARDRES WAY,BUELLTON,CA,93427,SANTA BARBARA
CA-W-16108,"QUINTA SANTA ROSA, LLC",PRODIGAL WINES,92 SECOND ST SUITES C A,BUELLTON,CA,93427,SANTA BARBARA
CA-W-24043,TYLER REILLY SIMMONS,REUNION WINE,84 INDUSTRIAL WAY UNIT C,BUELLTON,CA,93427,SANTA BARBARA
CA-W-22986,LO-FI WINES LLC,LO-FI WINES,100 LOS PADRES WAY STE 7,BUELLTON,CA,93427,SANTA BARBARA
CA-W-22425,"PENVILLE PROJECTS, LLC",,55 LOS PADRES WAY UNIT 1,BUELLTON,CA,93427,SANTA BARBARA
CA-W-21754,"KELLNER VINEYARDS, LLC",CENT' ANNI,59 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA
CA-W-21641,"MARTELLOTTO, INC.",MARTELLOTTO WINE PRODUCTIONS,100 LOS PADRES WAY STE 7,BUELLTON,CA,93427,SANTA BARBARA
CA-W-22967,MOSBY WINERY & VINEYARD INC,MOSBY WINERY,9496 SANTA ROSA RD,BUELLTON,CA,93427,SANTA BARBARA
CA-W-21480,DAVID M. & JENNIE S. BRADLEY,BRADLEY FAMILY WINERY,92 2ND ST STE C & D,BUELLTON,CA,93427,SANTA BARBARA
CA-W-22678,FIDENCIO FLORES,,140 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA
CA-W-23265,"MCKINNEY FAMILY VINEYARDS, LLC",MCKINNEY FAMILY VINEYARDS,"86 INDUSTRIAL WAY UNIT A, B & C",BUELLTON,CA,93427,SANTA BARBARA
CA-W-21186,LESAFFRE WINE COMPANY LLC,LESAFFRE WINE COMPANY,35 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA
CA-W-22883,"WILLIAMSON FAMILY WINERY, LLC",WILLIAMSON FAMILY WINES,90 EASY ST,BUELLTON,CA,93427,SANTA BARBARA
CA-W-16324,"TERRAVANT WINE COMPANY, LLC",SUMMERLAND WINE BRANDS,35 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA
CA-W-15359,H AND H WINES,CARIVINTAS WINES,35 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA
CA-W-16576,"PARAMOUNT PANELS, INC.",,35 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA
CA-W-16988,CHARLES OTTO SCHETTER & KAREN RENEE SCHETTER,,35 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA
CA-W-22825,"FINAL BLEND WINE COMPANY, LLC",DANA V WINES,57 & 59 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA
CA-W-16022,SORT THIS OUT CELLARS LLC,SORT THIS OUT CELLARS,35 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA
CA-W-22890,"LIEFF WINES, LLC",LIEFF WINES,65 LOS PADRES WAY,BUELLTON,CA,93427,SANTA BARBARA
CA-W-22283,"BRIGANTE PRIVATE LABEL, LLC",,35 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA
CA-W-21610,"CHOLAME VINEYARD, LLC",CHOLAME VINEYARD,140 INDUSTRIAL WAY,BUELLTON,CA,93427,SANTA BARBARA
